search_string,predict_under_code,line_no,similarity,filepath
"// ConsoleInterface // The interpreter reflexively implements the console interface that it  // uses.  Should clean this up by using an inner class to implement the // console for us.","public Object eval( CallStack callstack, Interpreter interpreter )",53,0.13496932515337423,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHMethodInvocation.java
"// Case-insensitive fs workaround","if(!fromCanonPath.equalsIgnoreCase(toCanonPath))",288,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/io/FileVFS.java
""/*			Wrap nulls.			This is a bit of a cludge to address a deficiency in the class			generator whereby it does not wrap nulls on method delegate.  See			Class Generator.java.  If we fix that then we can remove this.			(just have to generate the code there.)		*/"","if ( args != null )",225,0.3643122676579926,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/This.java
"// switch eats a multi-level break here? // not empty statement","None",None,None,None
"// Check for field on object  // Note: could eliminate throwing the exception somehow","Object obj = Reflect.getObjectField(evalBaseObject, field);",448,0.48936170212765956,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
"// XXXX re-evaluate this // can getSuper work by itself now? // If we're a class instance and the parent is also a class instance // then super means our parent.","thisNameSpace.getParent() != null",526,0.27631578947368424,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
""/*		I wish protected access were limited to children and not also 		package scope... I want this to be a singleton implemented by various		children.  	*/"","protected This( NameSpace namespace, Interpreter declaringInterpreter ) {",134,0.5604395604395604,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/This.java
"// Imported full name wasn't found as an absolute class // If it is compound, try to resolve to an inner class.   // (maybe this should happen in the BshClassManager?)","if ( Name.isCompound( fullname ) )",1206,0.5054945054945055,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/*	Can't this be combined with run() ?	run seems to have stuff in it for interactive vs. non-interactive...	compare them side by side and see what they do differently, aside from the	exception handling.	*/"","public Object eval(",600,0.2815533980582524,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Interpreter.java
"// Null value is just a declaration // Note: we might want to keep any existing value here instead of reset","// Moved to Variable",680,0.5,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
"// Can this be factored out...?   // Should be be adding the L...; here instead?","private static String descriptorToClassName( String s )",1082,0.5777777777777777,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorUtil.java
""/* 							Catch the mismatch and continue to try the next							Note: this is innefficient, should have an 							isAssignableFrom() that doesn't throw 						*/"","continue;",127,0.430939226519337,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHTryStatement.java
"// should use try/finally here to pop ns","callstack.push( instanceNameSpace );",983,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorUtil.java
""/*			Note: this could be made clearer by adding an inner class for the			cases and an object context for the child traversal.		*/"","// first label",52,0.6463414634146342,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHSwitchStatement.java
"// hack... sticking to first interpreter that resolves this // see comments on type instance variable","interpreter.getClassManager().addListener(this);",171,0.7445255474452555,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHType.java
"// Note: incorrect here - we are using the hack in bsh class // manager that allows lookup by base name.  We need to eliminate // this limitation by working through imports.  See notes in class // manager.","String definingClass = bcm.getClassBeingDefined( clasName );",100,0.4485981308411215,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHType.java
""/* 		This is the namespace in which the method is set.		It is a back-reference for the node, which needs to execute under this 		namespace.  It is not necessary to declare this transient, because 		we can only be saved as part of our namespace anyway... (currently).	*/"","NameSpace declaringNameSpace;",58,0.3007518796992481,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BshMethod.java
"// Replace this is Cocoa API calls later","/*try",39,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/jars/MacOS/macos/script/ScriptFilter.java
"// Scripting classes currently requires accessibility // This can be eliminated with a bit more work.","Capabilities.setAccessibility( true );",60,0.7164179104477612,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorImpl.java
"// This could be static","public void setInstanceNameSpaceParent(",40,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorImpl.java
""/*	Thanks to Slava Pestov (of jEdit fame) for import caching enhancements.	Note: This class has gotten too big.  It should be broken down a bit.*/"","public class NameSpace",63,0.6594594594594595,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/**    * Register an attribute declaration for later retrieval.    * Format:    * - String type    * - String default value    * - int value type    * *TODO: do something with attribute types.    */"","void setAttribute (String elName, String name, int type, String enumeration,",2717,0.5,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/com/microstar/xml/XmlParser.java
""/*				TODO:					to get cast and boxing working e.g.					e.g. Byte [] ia = { 1, 2 }					If the baseType is a wrapper type then we need to get the 					primitive TYPE class for the base type here in order for 					the cast to allow it... Then boxing will happen naturally in					the Array.set().					e.g. Integer [] ia = { 1, 2 }				*/"","if ( Primitive.isWrapperType( baseType ) )",98,0.18892508143322476,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHArrayInitializer.java
""/*		Note: We will ll move this behavior out to a subclass of 		NameSpace, but we'll start here.	*/"","boolean isClass;",118,0.6976744186046512,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
"// This is a particularly nasty bit // of code, that checks for a parameter // entity reference but peeks ahead to // catch the '%' in parameter entity // declarations.","c == '%' &&",3105,0.3473053892215569,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/com/microstar/xml/XmlParser.java
"// Should cache this subject to classloader change message // Evaluation of the formal parameter simply resolves its // type via the specified namespace.. it doesn't modify the // namespace.","Return value is the evaluated object (or corresponding primitive",585,0.2111111111111111,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Interpreter.java
""/*	Notes:	It would not be hard to eliminate the use of org.objectweb.asm.Type from	this class, making the distribution a tiny bit smaller.*/"","public class ClassGeneratorUtil implements Constants",81,0.6630434782608695,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorUtil.java
"// stupid: caret will automatically be incremented","buffer.insert(caret,end);",4285,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/JEditTextArea.java
"/* Spacing workaround */","glyphVector = new JCheckBox(jEdit.getProperty(",79,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/options/PrintOptionPane.java
"// I don't know of any other way to fix this, since invoking this // command from a menu results in the focus owner being the menu // until the menu goes away.","SwingUtilities.invokeLater(new Runnable()",911,0.5810055865921788,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/DockableWindowManager.java
"// a little hack for reverse replace and find","int caret = textArea.getCaretPosition();",680,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/search/SearchAndReplace.java
"// Static methods that operate on compound ('.' separated) names // I guess we could move these to StringUtil someday","public static boolean isCompound(String value)",995,0.7189542483660131,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
""/*	Note: which of these things should be checked at parse time vs. run time?*/"","public class Modifiers implements java.io.Serializable",10,0.9448818897637795,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Modifiers.java
"// this part sucks","setBackground(jEdit.getColorProperty(",274,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/options/SyntaxHiliteOptionPane.java
"// Windows bug workaround in case a YES/NO confirm // was shown","// ... but if HyperSearch results window is floating,",759,0.8936170212765957,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/search/SearchDialog.java
"// clear name resolvers... don't know if this is necessary.","names = null;",1339,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/* this is stupid and misleading.					 * but 'path' is not used anywhere except					 * the above line, and if this is done					 * after the 'continue', then we will					 * either hang, or be forced to duplicate					 * it inside the buffer == null, or add					 * a 'finally' clause. you decide which one's					 * worse. */"","path = fileset.getNextFile(view,path);",462,0.19047619047619047,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/search/SearchAndReplace.java
"// I'm too tired to think of a better way // to handle this right now.","selectAllFlag = true;",155,0.735632183908046,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/CloseDialog.java
"// hacked BufferIORequest to send VFSUpdates in case // two stage save is off now...","/* else if(bmsg.getWhat() == BufferUpdate.SAVED)",369,0.782608695652174,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/browser/VFSBrowser.java
"// some other primitive // should avoid calling methods on primitive, as we do // in Name (can't treat primitive like an object message) // but the hole is useful right now.","if ( Interpreter.DEBUG )",845,0.24691358024691357,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
"// Change the parent (which was the class static) to the class instance // We really need to check if we're a static inner class here first... // but for some reason Java won't show the static modifier on our // fake inner classes...  could generate a flag field.","if ( instanceNameSpace != null",151,0.43223443223443225,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHAllocationExpression.java
"// this is where checked exceptions piss me off. this method only uses // a StringReader which can never throw an exception...","if(buffer != null)",1387,0.7116564417177914,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/View.java
"// If any subexpressions didn't terminate, they don't count // TODO check if this code ever gets hit","if ((start[i] == -1) ^ (end[i] == -1)) {",90,0.7611940298507462,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/gnu/regexp/REMatch.java
"// Parse pattern into tokens.  Does anyone know if it's more efficient // to use char[] than a String.charAt()?  I'm assuming so.","// index tracks the position in the char array",301,0.7073170731707317,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/gnu/regexp/RE.java
""/*		Note: object is only used here for precondition... get rid of it?	*/"","protected static Method resolveJavaMethod(",418,0.9230769230769231,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Reflect.java
"// Why both of these?","TargetError target = null;",68,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHTryStatement.java
"// Cut off from parent, we must have our own class manager. // Can't do this in the run() command (needs to resolve stuff) // Should we do it by default when we create a namespace will no // parent of class manager?","if ( this.classManager == null )",520,0.4343891402714932,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/*		Note: the bsh command code should probably not be here...  we need to		scope it by the namespace that imported the command... so it probably		needs to be integrated into NameSpace.	*/"","private Object invokeLocalMethod(",885,0.5185185185185185,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
"// This could be smarter...","try {",78,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/CollectionManager.java
"// It was explicitly imported, but we don't know what it is. // should we throw an error here??","return null;",1227,0.7777777777777778,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/*		Note: we need a form of eval that passes the callstack through...	*/"","Can't this be combined with run() ?",597,0.9230769230769231,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Interpreter.java
""/* 		Primary interpreter set and get variable methods		Note: These are squeltching errors... should they?	*/"","public Object eval( CallStack callstack, Interpreter interpreter )",53,0.2037037037037037,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHMethodInvocation.java
"// Workaround for JDK bug 4071281, where system.in.available()  // returns too large a value. This bug has been fixed in JDK 1.2.","throws IOException",147,0.1864406779661017,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/installer/TarInputStream.java
""/*				Somewhat of a hack.  If the special fields are visible (we're				operating relative to a 'this' type already) dissallow further				.this references to prevent user from skipping to things like				super.this.caller			*/"","if ( specialFieldsVisible )",484,0.4032258064516129,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
"// Should clean this up to a single return statement","reset();",678,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
""/*	Implementation notes:	Note: we may need some synchronization in here	Note on version dependency:  This base class is JDK 1.1 compatible,	however we are forced to use weak references in the full featured	implementation (the optional bsh.classpath package) to accomodate all of	the fleeting namespace listeners as they fall out of scope.  (NameSpaces	must be informed if the class space changes so that they can un-cache	names).  	<p>	Perhaps a simpler idea would be to have entities that reference cached	types always perform a light weight check with a counter / reference	value and use that to detect changes in the namespace.  This puts the 	burden on the consumer to check at appropriate times, but could eliminate	the need for the listener system in many places and the necessity of weak 	references in this package.	<p>*/"","public class BshClassManager",60,0.055248618784530384,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BshClassManager.java
""/*		Note: this impor pattern is becoming common... could factor it out into		an importedObject Vector class.	*/"","public void importObject( Object obj )",1526,0.7547169811320755,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
"// not sure if we should really recurse here for explicitly imported // class in parent...","if ( fullname != null )",1192,0.8636363636363636,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
"// The following two boolean checks were tacked on. // This could probably be smoothed out.","Look ahead and short circuit evaluation of the rhs if:",88,0.7226890756302521,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHBinaryExpression.java
""/*		Notes:		This is broken.  It finds public but less specific methods over		non-public but more specific ones.		findMostSpecficMethod() needs to be rewritten to eliminate 		findAccessibleMethod.  We should implement the findMostSpecificMethod 		that uses the publicOnly flag.  FindMostSpecificMethod should also		operate in two passes to give standard Java assignable matches priority		over extended bsh type matches.	*/"","protected static Method resolveJavaMethod(",437,0.24528301886792453,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Reflect.java
"//{{{ UnixWorkaround constructor","UnixWorkaround(Window win, String name, Rectangle desired,",997,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/GUIUtilities.java
"// drag and drop support // I'd just move the code to // JEditTextArea but it // depends on JDK 1.4 APIs","textArea.setTransferHandler(new TextAreaTransferHandler());",117,0.3883495145631068,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/Java14.java
"// next version: remove this","public void handleMessage(EBMessage message)",41,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/EBPlugin.java
"// compatibility kludge for jEdit 3.1 and earlier","if(!line.startsWith("!"))",645,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/buffer/BufferIORequest.java
"// stupid scrollbar policy is an attempt to work around // bugs people have been seeing with IBM's JDK -- 7 Sep 2000","JScrollPane scroller = new JScrollPane(list,",462,0.6571428571428571,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/ActionBar.java
"// this is a weird hack. // we don't want C+e a to insert 'a' in the // search bar if the search bar has focus...","if(inputHandler.isPrefixActive())",616,0.35514018691588783,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/View.java
"// AHA! // this is probably the only way to fix this","FoldHandler oldFoldHandler = foldHandler;",3918,0.9210526315789473,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/Buffer.java
"// this is a dirty hack and it relies on the fact // that updates for parents are sent before updates // for the changed nodes themselves (if this was not // the case, the browser wouldn't be updated properly // on delete, etc). // // to avoid causing '> 1 request' errors, don't reload // directory if request already active","if(maybeReloadRequestRunning)",1118,0.2508250825082508,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/browser/VFSBrowser.java
"// we consume this to work around the bug // where A+TAB window switching activates // the menu bar on Windows.","evt.consume();",223,0.532258064516129,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/KeyEventWorkaround.java
""/* I guess translated events do not have the 'evt' field set		so consuming won't work. I don't think this is a problem as		nothing uses translation anyway */"","Key trans = (Key)transMap.get(returnValue);",178,0.5384615384615384,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/KeyEventTranslator.java
"// this is a hack, and really needs to be done better.","expandFold(line,false);",440,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/DisplayManager.java
"// copy and paste from RESyntaxMatcher to make syntax package // independent of jEdit itself","public static final RESyntax RE_SYNTAX_JEDIT",39,0.8,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/syntax/ParserRule.java
"// stupidity","char[] foo = new char[textArea.maxLineLen];",624,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/DisplayManager.java
"// This doesn't seem very correct, but it fixes a problem // when setting the initial caret position for a buffer // (eg, from the recent file list)","focusedComponent = this;",129,0.5595238095238095,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/JEditTextArea.java
"// don't try this at home","int oldFirstInvalidLine = firstInvalidLine;",190,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/ChunkCache.java
""/* silly that we reference the vertical				   scroll bar here directly. we do this so				   that the horizontal scroll bar is flush				   with the vertical scroll bar */"","Math.max(0,size.width - vertical.getWidth()",6429,0.38596491228070173,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/JEditTextArea.java
"// XXX clean up this conditional","if ( instanceThis == null )",944,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/ClassGeneratorUtil.java
"// Temporary hack to support inner classes  // If the obj is a non-static inner class then import the context... // This is not a sufficient emulation of inner classes. // Replace this later...","// work through to class 'this'",141,0.36923076923076925,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHAllocationExpression.java
"// workaround for Swing's annoying processing of // labels starting with <html>, which often breaks","if(valueStr.toLowerCase().startsWith("<html>"))",324,0.6614173228346457,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/options/AbbrevsOptionPane.java
"// fucking GTK look and feel!","Font font = new JLabel().getFont();",604,0.9787234042553191,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/StatusBar.java
"// hack so that 'select all' does not change current buffer","private boolean selectAllInProgress;",204,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/FilesChangedDialog.java
""/* if an occurence occurs at the		beginning of the selection, the		selection start will get moved.		this sucks, so we hack to avoid it. */"","int start = s.getStart();",1040,0.3611111111111111,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/search/SearchAndReplace.java
""/* Silly bug workaround #8694. If you look at the above code,		 * note that we restore the saved caret position first, then		 * scroll to the saved location. However, the caret changing		 * can itself result in scrolling to a different location than		 * what was saved; and since moveCaretPosition() calls		 * updateBracketHighlight(), the bracket highlight's out of		 * bounds calculation will rely on a different set of physical		 * first/last lines than what we will end up with eventually.		 * Instead of confusing the user with status messages that		 * appear at random when switching buffers, we simply hide the		 * message altogether. */"","view.getStatus().setMessage(null);",297,0.1692047377326565,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/EditPane.java
""/* this is a sloppy hack to fix bug				   ""[ 677902 ] hitting return after collapsed				   fold""				   the idea is that if we extend the range then				   the problem described in the bug happends, so				   if the insert is at the very end of the range				   we don't extend it, instead we push the				   insert into the next range, however for this				   to work properly we also have to mess with				   screen line counts. */"","int index = fvmget(startLine);",1533,0.14794520547945206,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/DisplayManager.java
"// need this bullshit scroll bar policy for the preferred size // hack to work","JScrollPane scrollPane = new JScrollPane(errors,",113,0.896551724137931,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/ErrorListDialog.java
"// XXX if we keep the createClassManager in getClassManager then we can axe // this?","setClassManager(",526,0.9473684210526315,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/NameSpace.java
""/*	Note: This class is messy.  The method and field resolution need to be	rewritten.  Various methods in here catch NoSuchMethod or NoSuchField	exceptions during their searches.  These should be rewritten to avoid	having to catch the exceptions.  Method lookups are now cached at a high 	level so they are less important, however the logic is messy.*/"","class Reflect",46,0.3220338983050847,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Reflect.java
"// the sooner ppl move to the new api, the less we'll need // crap like this","List returnValue = new LinkedList();",194,0.8679245283018868,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/io/VFSManager.java
"// Nasty hardcoded values","File[] volumes = new File("/Volumes").listFiles();",121,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/io/FileRootsVFS.java
"/* XXX magic number */","}",98,0.9473684210526315,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/menu/EnhancedMenuItem.java
"/* Workaround for uncooperative Windows L&F */","setUI(new BasicButtonUI());",91,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/RolloverButton.java
"// have to do this hack until VFSPath class is written","if(path.length() != 1 && (path.endsWith("/")",379,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/io/VFSManager.java
"// stupid Swing","if(row == -1 && getModel().getRowCount() != 0)",316,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/browser/VFSDirectoryEntryTable.java
